time,logger,level,message,exception
2012-08-02 00:21:53.3641,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on CacheModels/0abde8e3-8439-4be9-8860-0cd1db5f455c result in index Temp/CacheModels gave document: 	__document_id IS: cachemodels/0abde8e3-8439-4be9-8860-0cd1db5f455c
",
2012-08-02 00:21:53.3641,Raven.Database.Indexing.Index.Indexing,Debug,Indexed 3 documents for Temp/CacheModels,
2012-08-02 00:21:53.3641,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 20 because: WORK BY IndexingExecuter,
2012-08-02 00:21:53.3641,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 20, for: IndexingExecuter, will wait for additional work",
2012-08-02 00:21:53.3641,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 20, for: ReducingExecuter, will wait for additional work",
2012-08-02 00:21:53.3641,Raven.Database.Server.HttpServer,Debug,"	PUT CacheModels/0abde8e3-8439-4be9-8860-0cd1db5f455c
",
2012-08-02 00:22:05.8459,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'ImageModels/5778f9db-c78e-47af-892f-e4452eb9f490' was found,
2012-08-02 00:22:05.8459,Raven.Database.Server.HttpServer,Debug,Request #  42: GET     -     0 ms - PhotoCache - 200 - /docs/ImageModels/5778f9db-c78e-47af-892f-e4452eb9f490,
2012-08-02 00:22:18.0895,Raven.Database.Server.HttpServer,Debug,Request #  43: GET     -     0 ms - PhotoCache - 200 - /static/3aa66684-9596-4614-9a9a-d7ae33bf44b5,
2012-08-02 00:26:31.3709,Raven.Database.Indexing.IndexStorage,Info,Deleting index Temp/ImageModels,
2012-08-02 00:26:31.3899,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 21 because: DELETE INDEX Temp/ImageModels,
2012-08-02 00:26:31.3899,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 21, for: IndexingExecuter, will wait for additional work",
2012-08-02 00:26:31.3899,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 21, for: ReducingExecuter, will wait for additional work",
2012-08-02 00:26:31.3899,Raven.Database.Indexing.IndexStorage,Info,Deleting index Temp/CacheModels,
2012-08-02 00:26:31.3899,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 22 because: DELETE INDEX Temp/CacheModels,
2012-08-02 00:26:31.3899,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 22, for: ReducingExecuter, will wait for additional work",
